,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B35,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C12,C13,C14,C15,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,D13,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,G01,G02,G03,G04,G05,J02,J03,K01,K02,K03,K04,K05,K06,K07,K08,N01,N02,N03,N04,N06
D07,13,20,22,24,27,29,31,33,36,38,41,44,47,50,54,16,22,24,28,30,29,36,39,42,45,49,26,13,14,15,17,20,22,18,19,21,23,28,30,32,33,12,10,8,6,4,2,,1,5,7,9,12,15,18,19,21,23,26,29,32,35,38,41,16,15,8,15,17,19,22,24,27,29,32,4,7,10,13,16,40,46,23,25,26,28,32,35,39,42,40,42,44,46,54
D08,14,21,23,25,28,30,32,34,37,39,42,45,48,51,55,17,23,25,29,31,30,37,40,43,46,50,27,14,15,16,18,21,23,19,20,22,24,29,31,33,34,13,11,9,7,5,3,1,,4,6,8,11,14,19,20,22,24,27,30,33,36,39,42,17,16,9,16,18,20,23,25,28,30,33,3,6,9,12,15,41,47,24,26,27,29,33,36,40,43,41,43,45,47,55
D09,18,25,27,29,32,34,36,38,41,43,46,49,52,55,59,21,27,29,33,35,34,41,44,47,50,54,31,18,19,20,22,25,31,23,24,26,28,33,35,37,38,17,15,13,11,9,7,5,4,,2,4,7,10,23,24,26,28,31,34,37,40,43,46,21,20,13,20,22,24,27,29,32,34,37,12,15,18,21,24,45,51,28,30,31,33,37,40,44,47,50,52,54,56,64
D10,20,27,29,31,34,36,38,40,43,45,48,51,54,57,61,23,29,31,35,37,36,43,46,49,52,56,33,20,21,22,24,27,33,25,26,28,30,35,37,39,40,19,17,15,13,11,9,7,6,2,,2,5,8,25,26,28,30,33,36,39,42,45,48,23,22,15,22,24,26,29,31,34,36,39,14,17,20,23,26,47,53,30,32,33,35,39,42,46,49,52,54,56,58,66
D11,22,29,31,33,36,38,40,42,45,47,50,53,56,59,63,25,31,33,37,39,38,45,48,51,54,58,35,22,23,24,26,29,35,27,28,30,32,37,39,41,42,21,19,17,15,13,11,9,8,4,2,,3,6,27,28,30,32,35,38,41,44,47,50,25,24,17,24,26,28,31,33,36,38,41,16,19,22,25,28,49,55,32,34,35,37,41,44,48,51,54,56,58,60,68
D12,25,32,34,36,39,41,43,45,48,50,53,56,59,62,66,28,34,36,40,42,41,48,51,54,57,61,38,25,26,27,29,32,38,30,31,33,35,40,42,44,45,24,22,20,18,16,14,12,11,7,5,3,,3,30,31,33,35,38,41,44,47,50,53,28,27,20,27,29,31,34,36,39,41,44,19,22,25,28,31,52,58,35,37,38,40,44,47,51,54,57,59,61,63,71
D13,28,35,37,39,42,44,46,48,51,53,56,59,62,65,69,31,37,39,43,45,44,51,54,57,60,64,41,28,29,30,32,35,41,33,34,36,38,43,45,47,48,27,25,23,21,19,17,15,14,10,8,6,3,,33,34,36,38,41,44,47,50,53,56,31,30,23,30,32,34,37,39,42,44,47,22,25,28,31,34,55,61,38,40,41,43,47,50,54,57,60,62,64,66,74
E01,9,11,13,15,18,20,22,24,27,29,32,35,38,41,45,2,9,11,15,17,11,19,22,25,28,32,13,9,15,16,18,20,18,10,11,13,15,20,22,24,25,14,12,5,12,14,16,18,19,23,25,27,30,33,,1,3,5,8,11,14,17,20,23,2,3,5,7,9,11,14,16,19,21,24,22,25,28,31,34,32,38,24,26,27,29,33,36,40,43,41,43,45,47,55
E02,10,12,14,16,19,21,23,25,28,30,33,36,39,42,46,3,10,12,16,18,10,18,21,24,27,31,14,10,16,17,19,21,19,11,12,14,16,21,23,25,26,15,13,6,13,15,17,19,20,24,26,28,31,34,1,,2,4,7,10,13,16,19,22,3,4,6,8,10,12,15,17,20,22,25,23,26,29,32,35,33,39,25,27,28,30,34,37,41,44,42,44,46,48,56
E03,12,14,16,18,21,23,25,27,30,32,35,38,41,44,48,5,12,14,18,16,8,16,19,22,25,29,16,12,18,19,21,23,21,13,14,16,18,23,25,27,28,17,15,8,15,17,19,21,22,26,28,30,33,36,3,2,,2,5,8,11,14,17,20,5,6,8,10,12,14,17,19,22,24,27,25,28,31,34,37,35,41,27,29,30,32,36,39,43,46,44,46,48,50,58
E04,14,16,18,20,23,25,27,29,32,34,37,40,43,46,50,7,14,16,16,14,6,14,17,20,23,27,18,14,20,21,23,25,23,15,16,18,20,25,27,29,30,19,17,10,17,19,21,23,24,28,30,32,35,38,5,4,2,,3,6,9,12,15,18,7,8,10,12,14,16,19,21,24,26,29,27,30,33,36,39,37,43,29,31,32,34,38,41,45,48,46,48,50,52,60
E05,17,19,21,23,26,28,30,32,35,37,40,43,46,49,53,10,17,17,13,11,3,11,14,17,20,24,15,17,23,24,26,28,26,18,19,21,23,28,30,32,33,22,20,13,20,22,24,26,27,31,33,35,38,41,8,7,5,3,,3,6,9,12,15,10,11,13,15,17,19,22,24,27,29,32,30,33,36,39,42,40,46,32,34,35,37,41,44,48,51,49,51,53,55,63
E06,15,17,19,21,24,26,28,30,33,35,38,41,44,47,51,13,11,9,5,3,,3,6,9,12,16,7,15,21,22,24,27,29,21,22,24,26,31,33,35,36,21,23,16,23,25,27,29,30,34,36,38,41,44,11,10,8,6,3,,3,6,9,12,13,14,16,18,20,22,25,27,30,32,35,33,36,39,42,45,43,49,30,32,33,35,39,42,46,49,47,49,51,53,61
E07,23,25,27,29,32,34,36,38,41,43,46,49,52,55,59,16,19,17,13,11,3,11,14,17,20,24,15,23,29,30,32,35,37,29,30,32,34,39,41,43,44,28,26,19,26,28,30,32,33,37,39,41,44,47,14,13,11,9,6,3,,3,6,9,16,17,19,21,23,25,28,30,33,35,38,36,39,42,45,48,51,57,38,40,41,43,47,50,54,57,55,57,59,61,69
E08,26,28,30,32,35,37,39,41,44,46,49,52,55,58,62,19,22,20,16,14,6,14,17,20,23,27,18,26,32,33,35,38,40,32,33,35,37,42,44,46,47,31,29,22,29,31,33,35,36,40,42,44,47,50,17,16,14,12,9,6,3,,3,6,19,20,22,24,26,28,31,33,36,38,41,39,42,45,48,51,54,60,41,43,44,46,50,53,57,60,58,60,62,64,72
E09,29,31,33,35,38,40,42,44,47,49,52,55,58,61,65,22,25,23,19,17,9,17,20,23,26,30,21,29,35,36,38,41,43,35,36,38,40,45,47,49,50,34,32,25,32,34,36,38,39,43,45,47,50,53,20,19,17,15,12,9,6,3,,3,22,23,25,27,29,31,34,36,39,41,44,42,45,48,51,54,57,63,44,46,47,49,53,56,60,63,61,63,65,67,75
E10,32,34,36,38,41,43,45,47,50,52,55,58,61,64,68,25,28,26,22,20,12,20,23,26,29,33,24,32,38,39,41,44,46,38,39,41,43,48,50,52,53,37,35,28,35,37,39,41,42,46,48,50,53,56,23,22,20,18,15,12,9,6,3,,25,26,28,30,32,34,37,39,42,44,47,45,48,51,54,57,60,66,47,49,50,52,56,59,63,66,64,66,68,70,78
F01,2,4,6,8,11,13,15,17,20,22,25,28,31,34,38,,2,4,8,10,13,16,19,22,25,29,6,2,8,9,11,14,16,8,9,11,13,18,20,22,23,8,10,3,10,12,14,16,17,21,23,25,28,31,2,3,5,7,10,13,16,19,22,25,,1,3,5,7,9,12,14,17,19,22,20,23,26,29,32,30,36,17,19,20,22,26,29,33,36,34,36,38,40,48
F02,8,10,12,14,17,19,21,23,26,28,31,34,37,40,44,1,8,10,14,16,14,22,25,28,31,35,12,8,13,14,16,17,15,7,8,10,12,17,19,21,22,11,9,2,9,11,13,15,16,20,22,24,27,30,3,4,6,8,11,14,17,20,23,26,1,,2,4,6,8,11,13,16,18,21,19,22,25,28,31,29,35,22,24,25,27,31,34,38,41,39,41,43,45,53
F03,5,12,14,16,19,21,23,25,28,30,33,36,39,42,46,3,10,12,16,18,16,24,27,30,33,37,14,5,6,7,9,12,13,5,6,8,10,15,17,19,20,4,2,,2,4,6,8,9,13,15,17,20,23,5,6,8,10,13,16,19,22,25,28,3,2,,2,4,6,9,11,14,16,19,12,15,18,21,24,27,33,15,17,18,20,24,27,31,34,32,34,36,38,46
F04,12,14,16,18,21,23,25,27,30,32,35,38,41,44,48,5,12,14,18,20,18,26,29,32,35,39,16,12,13,14,16,19,20,12,13,15,17,22,24,26,27,11,9,2,9,11,13,15,16,20,22,24,27,30,7,8,10,12,15,18,21,24,27,30,5,4,2,,2,4,7,9,12,14,17,19,22,25,28,31,34,40,22,24,25,27,31,34,38,41,39,41,43,45,53
F05,14,16,18,20,23,25,27,29,32,34,37,40,43,46,50,7,14,16,20,22,20,28,31,34,37,41,18,14,15,16,18,21,22,14,15,17,19,24,26,28,29,13,11,4,11,13,15,17,18,22,24,26,29,32,9,10,12,14,17,20,23,26,29,32,7,6,4,2,,2,5,7,10,12,15,21,24,27,30,33,36,42,24,26,27,29,33,36,40,43,41,43,45,47,55
F06,16,18,20,22,25,27,29,31,34,36,39,42,45,48,52,9,16,18,22,24,22,30,33,36,39,43,20,16,17,18,20,23,24,16,17,19,21,26,28,30,31,15,13,6,13,15,17,19,20,24,26,28,31,34,11,12,14,16,19,22,25,28,31,34,9,8,6,4,2,,3,5,8,10,13,23,26,29,32,35,38,44,26,28,29,31,35,38,42,45,43,45,47,49,57
F07,19,21,23,25,28,30,32,34,37,39,42,45,48,51,55,12,19,21,25,27,25,33,36,39,42,46,23,19,20,21,23,26,27,19,20,22,24,29,31,33,34,18,16,9,16,18,20,22,23,27,29,31,34,37,14,15,17,19,22,25,28,31,34,37,12,11,9,7,5,3,,2,5,7,10,26,29,32,35,38,41,47,29,31,32,34,38,41,45,48,46,48,50,52,60
F08,21,23,25,27,30,32,34,36,39,41,44,47,50,53,57,14,21,23,27,29,27,35,38,41,44,48,25,21,22,23,25,28,29,21,22,24,26,31,33,35,36,20,18,11,18,20,22,24,25,29,31,33,36,39,16,17,19,21,24,27,30,33,36,39,14,13,11,9,7,5,2,,3,5,8,28,31,34,37,40,43,49,31,33,34,36,40,43,47,50,48,50,52,54,62
F09,24,26,28,30,33,35,37,39,42,44,47,50,53,56,60,17,24,26,30,32,30,38,41,44,47,51,28,24,25,26,28,31,32,24,25,27,29,34,36,38,39,23,21,14,21,23,25,27,28,32,34,36,39,42,19,20,22,24,27,30,33,36,39,42,17,16,14,12,10,8,5,3,,2,5,31,34,37,40,43,46,52,34,36,37,39,43,46,50,53,51,53,55,57,65
F10,26,28,30,32,35,37,39,41,44,46,49,52,55,58,62,19,26,28,32,34,32,40,43,46,49,53,30,26,27,28,30,33,34,26,27,29,31,36,38,40,41,25,23,16,23,25,27,29,30,34,36,38,41,44,21,22,24,26,29,32,35,38,41,44,19,18,16,14,12,10,7,5,2,,3,33,36,39,42,45,48,54,36,38,39,41,45,48,52,55,53,55,57,59,67
F11,29,31,33,35,38,40,42,44,47,49,52,55,58,61,65,22,29,31,35,37,35,43,46,49,52,56,33,29,30,31,33,36,37,29,30,32,34,39,41,43,44,28,26,19,26,28,30,32,33,37,39,41,44,47,24,25,27,29,32,35,38,41,44,47,22,21,19,17,15,13,10,8,5,3,,36,39,42,45,48,51,57,39,41,42,44,48,51,55,58,56,58,60,62,70
G01,17,24,26,28,31,33,35,37,40,42,45,48,51,54,58,20,26,28,32,34,33,40,43,46,49,53,30,17,18,19,21,24,26,22,23,25,27,32,34,36,37,16,14,12,10,8,6,4,3,12,14,16,19,22,22,23,25,27,30,33,36,39,42,45,20,19,12,19,21,23,26,28,31,33,36,,3,6,9,12,44,50,27,29,30,32,36,44,48,51,44,46,48,50,58
G02,20,27,29,31,34,36,38,40,43,45,48,51,54,57,61,23,29,31,35,37,36,43,46,49,52,56,33,20,21,22,24,27,29,25,26,28,30,35,37,39,40,19,17,15,13,11,9,7,6,15,17,19,22,25,25,26,28,30,33,36,39,42,45,48,23,22,15,22,24,26,29,31,34,36,39,3,,3,6,9,47,53,30,32,33,35,39,47,51,54,47,49,51,53,61
G03,23,30,32,34,37,39,41,43,46,48,51,54,57,60,64,26,32,34,38,40,39,46,49,52,55,59,36,23,24,25,27,30,32,28,29,31,33,38,40,42,43,22,20,18,16,14,12,10,9,18,20,22,25,28,28,29,31,33,36,39,42,45,48,51,26,25,18,25,27,29,32,34,37,39,42,6,3,,3,6,50,56,33,35,36,38,42,50,54,57,50,52,54,56,64
G04,26,33,35,37,40,42,44,46,49,51,54,57,60,63,67,29,35,37,41,43,42,49,52,55,58,62,39,26,27,28,30,33,35,31,32,34,36,41,43,45,46,25,23,21,19,17,15,13,12,21,23,25,28,31,31,32,34,36,39,42,45,48,51,54,29,28,21,28,30,32,35,37,40,42,45,9,6,3,,3,53,59,36,38,39,41,45,53,57,60,53,55,57,59,67
G05,29,36,38,40,43,45,47,49,52,54,57,60,63,66,70,32,38,40,44,46,45,52,55,58,61,65,42,29,30,31,33,36,38,34,35,37,39,44,46,48,49,28,26,24,22,20,18,16,15,24,26,28,31,34,34,35,37,39,42,45,48,51,54,57,32,31,24,31,33,35,38,40,43,45,48,12,9,6,3,,56,62,39,41,42,44,48,56,60,63,56,58,60,62,70
J02,29,36,38,40,43,45,47,49,52,54,57,60,63,66,70,30,37,39,43,45,43,51,54,57,60,64,41,29,28,27,25,22,20,17,16,14,12,7,5,12,13,30,32,27,34,36,38,40,41,45,47,49,52,55,32,33,35,37,40,43,51,54,57,60,30,29,27,34,36,38,41,43,46,48,51,44,47,50,53,56,,6,30,32,33,35,39,42,46,49,47,49,51,53,61
J03,35,42,44,46,49,51,53,55,58,60,63,66,69,72,76,36,43,45,49,51,49,57,60,63,66,70,47,35,34,33,31,28,26,23,22,20,18,13,11,18,19,36,38,33,40,42,44,46,47,51,53,55,58,61,38,39,41,43,46,49,57,60,63,66,36,35,33,40,42,44,47,49,52,54,57,50,53,56,59,62,6,,36,38,39,41,45,48,52,55,53,55,57,59,67
K01,10,17,19,21,24,26,28,30,33,35,38,41,44,47,51,17,19,21,25,27,30,33,36,39,42,46,23,10,9,8,6,3,10,13,14,16,18,23,25,32,33,11,13,15,17,19,21,23,24,28,30,32,35,38,24,25,27,29,32,30,38,41,44,47,17,22,15,22,24,26,29,31,34,36,39,27,30,33,36,39,30,36,,2,3,5,9,12,16,19,17,19,21,23,31
K02,12,19,21,23,26,28,30,32,35,37,40,43,46,49,53,19,21,23,27,29,32,35,38,41,44,48,25,12,11,10,8,5,12,15,16,18,20,25,27,34,35,13,15,17,19,21,23,25,26,30,32,34,37,40,26,27,29,31,34,32,40,43,46,49,19,24,17,24,26,28,31,33,36,38,41,29,32,35,38,41,32,38,2,,1,3,7,10,14,17,15,17,19,21,29
K03,13,20,22,24,27,29,31,33,36,38,41,44,47,50,54,20,22,24,28,30,33,36,39,42,45,49,26,13,12,11,9,6,13,16,17,19,21,26,28,35,36,14,16,18,20,22,24,26,27,31,33,35,38,41,27,28,30,32,35,33,41,44,47,50,20,25,18,25,27,29,32,34,37,39,42,30,33,36,39,42,33,39,3,1,,2,6,9,13,16,14,16,18,20,28
K04,15,22,24,26,29,31,33,35,38,40,43,46,49,52,56,22,24,26,30,32,35,38,41,44,47,51,28,15,14,13,11,8,15,18,19,21,23,28,30,37,38,16,18,20,22,24,26,28,29,33,35,37,40,43,29,30,32,34,37,35,43,46,49,52,22,27,20,27,29,31,34,36,39,41,44,32,35,38,41,44,35,41,5,3,2,,4,7,11,14,12,14,16,18,26
K05,19,26,28,30,33,35,37,39,42,44,47,50,53,56,60,26,28,30,34,36,39,42,45,48,51,55,32,19,18,17,15,12,19,22,23,25,27,32,34,41,42,20,22,24,26,28,30,32,33,37,39,41,44,47,33,34,36,38,41,39,47,50,53,56,26,31,24,31,33,35,38,40,43,45,48,36,39,42,45,48,39,45,9,7,6,4,,3,7,10,8,10,12,14,22
K06,22,29,31,33,36,38,40,42,45,47,50,53,56,59,63,29,31,33,37,39,42,45,48,51,54,58,35,22,21,20,18,15,22,25,26,28,30,35,37,44,45,23,25,27,29,31,33,35,36,40,42,44,47,50,36,37,39,41,44,42,50,53,56,59,29,34,27,34,36,38,41,43,46,48,51,44,47,50,53,56,42,48,12,10,9,7,3,,4,7,16,18,20,22,30
K07,26,33,35,37,40,42,44,46,49,51,54,57,60,63,67,33,35,37,41,43,46,49,52,55,58,62,39,26,25,24,22,19,26,29,30,32,34,39,41,48,49,27,29,31,33,35,37,39,40,44,46,48,51,54,40,41,43,45,48,46,54,57,60,63,33,38,31,38,40,42,45,47,50,52,55,48,51,54,57,60,46,52,16,14,13,11,7,4,,3,20,22,24,26,34
K08,29,36,38,40,43,45,47,49,52,54,57,60,63,66,70,36,38,40,44,46,49,52,55,58,61,65,42,29,28,27,25,22,29,32,33,35,37,42,44,51,52,30,32,34,36,38,40,42,43,47,49,51,54,57,43,44,46,48,51,49,57,60,63,66,36,41,34,41,43,45,48,50,53,55,58,51,54,57,60,63,49,55,19,17,16,14,10,7,3,,23,25,27,29,37
N01,27,34,36,38,41,43,45,47,50,52,55,58,61,64,68,34,36,38,42,44,47,50,53,56,59,63,40,27,26,25,23,20,27,30,31,33,35,40,42,49,50,28,30,32,34,36,38,40,41,50,52,54,57,60,41,42,44,46,49,47,55,58,61,64,34,39,32,39,41,43,46,48,51,53,56,44,47,50,53,56,47,53,17,15,14,12,8,16,20,23,,2,4,6,14
N02,29,36,38,40,43,45,47,49,52,54,57,60,63,66,70,36,38,40,44,46,49,52,55,58,61,65,42,29,28,27,25,22,29,32,33,35,37,42,44,51,52,30,32,34,36,38,40,42,43,52,54,56,59,62,43,44,46,48,51,49,57,60,63,66,36,41,34,41,43,45,48,50,53,55,58,46,49,52,55,58,49,55,19,17,16,14,10,18,22,25,2,,2,4,12
N03,31,38,40,42,45,47,49,51,54,56,59,62,65,68,72,38,40,42,46,48,51,54,57,60,63,67,44,31,30,29,27,24,31,34,35,37,39,44,46,53,54,32,34,36,38,40,42,44,45,54,56,58,61,64,45,46,48,50,53,51,59,62,65,68,38,43,36,43,45,47,50,52,55,57,60,48,51,54,57,60,51,57,21,19,18,16,12,20,24,27,4,2,,2,10
N04,33,40,42,44,47,49,51,53,56,58,61,64,67,70,74,40,42,44,48,50,53,56,59,62,65,69,46,33,32,31,29,26,33,36,37,39,41,46,48,55,56,34,36,38,40,42,44,46,47,56,58,60,63,66,47,48,50,52,55,53,61,64,67,70,40,45,38,45,47,49,52,54,57,59,62,50,53,56,59,62,53,59,23,21,20,18,14,22,26,29,6,4,2,,8
N06,41,48,50,52,55,57,59,61,64,66,69,72,75,78,82,48,50,52,56,58,61,64,67,70,73,77,54,41,40,39,37,34,41,44,45,47,49,54,56,63,64,42,44,46,48,50,52,54,55,64,66,68,71,74,55,56,58,60,63,61,69,72,75,78,48,53,46,53,55,57,60,62,65,67,70,58,61,64,67,70,61,67,31,29,28,26,22,30,34,37,14,12,10,8,